"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","40,997.0","41,042.0","41,352.0","40,997.0","788.49K","0.00%"
"03/29/2023","40,997.0","40,820.0","41,131.0","40,421.0","341.56K","0.43%"
"03/28/2023","40,820.0","41,264.0","41,530.0","40,820.0","567.96K","0.00%"
"03/27/2023","40,820.0","40,421.0","40,953.0","39,933.0","757.50K","0.99%"
"03/24/2023","40,421.0","40,731.0","41,086.0","40,376.0","410.87K","-0.76%"
"03/23/2023","40,731.0","40,199.0","40,820.0","40,199.0","467.55K","-0.44%"
"03/22/2023","40,909.0","40,598.0","40,997.0","40,332.0","631.97K","1.65%"
"03/21/2023","40,243.0","40,288.0","40,598.0","39,755.0","835.71K","0.00%"
"03/20/2023","40,243.0","40,820.0","40,820.0","39,933.0","660.14K","-2.05%"
"03/17/2023","41,086.0","41,707.0","41,707.0","40,820.0","350.13K","0.11%"
"03/16/2023","41,042.0","40,864.0","41,619.0","40,864.0","986.83K","-1.18%"
"03/15/2023","41,530.0","40,820.0","42,062.0","40,332.0","708.14K","3.88%"
"03/14/2023","39,977.0","40,909.0","41,131.0","39,711.0","1.63M","-2.59%"
"03/13/2023","41,042.0","41,352.0","41,619.0","41,042.0","1.05M","-1.91%"
"03/10/2023","41,840.0","42,107.0","42,107.0","41,663.0","971.61K","-1.05%"
"03/09/2023","42,284.0","42,595.0","42,595.0","41,752.0","1.32M","-0.73%"
"03/08/2023","42,595.0","41,175.0","42,595.0","40,731.0","1.39M","2.35%"
"03/07/2023","41,619.0","40,376.0","41,796.0","40,376.0","1.84M","2.40%"
"03/06/2023","40,642.0","40,731.0","41,707.0","40,199.0","974.66K","-0.22%"
"03/03/2023","40,731.0","41,175.0","41,264.0","40,154.0","828.72K","-1.08%"
"03/02/2023","41,175.0","40,509.0","41,264.0","40,288.0","1.10M","1.64%"
"03/01/2023","40,509.0","39,045.0","40,509.0","38,868.0","834.92K","3.51%"
"02/28/2023","39,134.0","39,267.0","39,578.0","39,090.0","290.29K","-0.34%"
"02/27/2023","39,267.0","39,489.0","39,489.0","38,690.0","1.06M","-0.79%"
"02/24/2023","39,578.0","39,977.0","40,421.0","39,400.0","561.08K","-2.09%"
"02/23/2023","40,421.0","39,888.0","40,421.0","38,779.0","1.44M","1.22%"
"02/22/2023","39,933.0","40,687.0","40,820.0","39,933.0","1.12M","-2.70%"
"02/21/2023","41,042.0","41,885.0","41,974.0","41,042.0","1.12M","-2.01%"
"02/20/2023","41,885.0","40,642.0","42,018.0","40,642.0","1.70M","3.06%"
"02/17/2023","40,642.0","39,933.0","40,642.0","39,888.0","1.68M","1.78%"
"02/16/2023","39,933.0","39,666.0","39,933.0","39,045.0","1.20M","2.27%"
"02/15/2023","39,045.0","38,291.0","39,444.0","38,291.0","681.32K","1.38%"
"02/14/2023","38,513.0","39,489.0","39,489.0","38,424.0","1.49M","-2.25%"
"02/13/2023","39,400.0","38,113.0","39,400.0","38,113.0","1.79M","3.38%"
"02/10/2023","38,113.0","39,400.0","39,533.0","38,113.0","1.58M","-2.39%"
